Irish Region,Total - Both Male & Female,Male,Female,18-24,25-34,35-44,45-54,55-64
Total,1002,490,512,129,225,261,211,176
Percentage of Total,100%,49%,51%,13%,22%,26%,21%,18%
Dublin,281,137,144,36,64,73,59,49
Percentage of Dublin,28%,28%,28%,28%,28%,28%,28%,28%
Leinster,276,131,145,33,62,74,59,48
Percentage of Leinster,28%,27%,28%,26%,28%,28%,28%,27%
Munster,279,136,143,37,63,71,59,49
Percentage of Munster,28%,28%,28%,29%,28%,27%,28%,28%
Connacht,113,58,55,16,26,29,22,20
Percentage of Connacht,11%,12%,11%,12%,12%,11%,10%,11%
Ulster (ROI Only),53,28,25,7,10,14,12,10
Percentage of Ulster (ROI Only),5%,6%,5%,5%,4%,5%,6%,6%
